source_account	article_publish_date	article_title	name	event_type	organizer_name	venue_name	venue_address	city	country	start_date	end_date	start_time	end_time	ticket_url	official_website	source_provider	source_event_url	status	notes
Asylum Events	2026-04-08	倒计时开启！SULTAN+SHEPARD新专巡演上海站时间表释出	SULTAN+SHEPARD 上海巡演	club_show	Asylum Events			上海	中国	2026-04-17	2026-04-17					WeChat		upcoming	日期由标题“04.17上海”推断
Asylum Events	2026-04-03	SHENWAVE申浪音乐节官宣！ANYMA携全新项目“EDEN”亚洲首演开启全球巡演序幕	SHENWAVE申浪音乐节 / ANYMA EDEN	festival	Asylum Events				中国							WeChat		upcoming	活动信息待补
Asylum Events	2026-03-18	04.17上海｜地球上最治愈的旋律浩室双人组来了！	SULTAN+SHEPARD 上海巡演	club_show	Asylum Events			上海	中国	2026-04-17	2026-04-17					WeChat		upcoming	
Asylum Events	2026-02-27	Eric Luttrell深沪巡演—室内外双重呈现！	Eric Luttrell 深沪巡演	club_show	Asylum Events			深圳/上海	中国							WeChat		upcoming	
Asylum Events	2026-01-21	他的90分钟现场，你一秒都不能错过！	（待确认）90分钟现场活动	club_show	Asylum Events				中国							WeChat		upcoming	标题未含艺人名
Asylum Events	2026-03-28	03.28｜asylum air - Rave模式的日咖夜酒	asylum air 日咖夜酒	special_event	Asylum Events				中国	2026-03-28	2026-03-28					WeChat		past	年份按时间序列推断
Asylum Events	2026-04-30	申浪预热派对来袭！特邀浩室制作人Enamour	Enamour 申浪预热派对	club_show	Asylum Events	BOLIVE	No.25 Tairan 8th Road, Futian, Shenzhen	深圳	中国	2026-04-30	2026-05-01	21:00	02:00			WeChat		upcoming	日期场地来自海报信息
Asylum Events	2026-02-27	「永浴旋律」Nils Hoffmann 2026新专巡演回归	Nils Hoffmann 2026中国巡演	club_show	Asylum Events				中国							WeChat		upcoming	标题在页面截断后补全
Asylum Events	2025-12-23	「初来即心」Romain Garcia 2025新专巡演 广州站回顾	Romain Garcia 广州站	club_show	Asylum Events			广州	中国	2025-12-12	2025-12-12					WeChat		past	日期由同账号12.12预告推断
Asylum Events	2025-11-27	12.13联合呈现｜倒挂人回来了——Afterlife旋律女王ANII再临上海	ANII 上海演出	club_show	Asylum Events			上海	中国	2025-12-13	2025-12-13					WeChat		upcoming	
Asylum Events	2025-11-25	12.12 广州｜Romain Garcia携新专国内「震撼首发」	Romain Garcia 广州演出	club_show	Asylum Events			广州	中国	2025-12-12	2025-12-12					WeChat		upcoming	
Asylum Events	2025-10-11	mölly 2025中国巡演——旋律的浪潮在月下翻涌	mölly 2025中国巡演	club_show	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2025-10-06	当电子音乐遇见东方园林！ASYLUM与CLSTR56在豫园开启另类蹦迪！	ASYLUM x CLSTR56 豫园活动	special_event	Asylum Events		豫园	上海	中国							WeChat		past	
Asylum Events	2025-08-13	9月13日｜年度重磅呈现：HÖR深圳站，全程录制，邀你共赴狂欢·BO LIVE（前海店）	HÖR 深圳站	special_event	Asylum Events	BO LIVE（前海店）		深圳	中国	2025-09-13	2025-09-13					WeChat		upcoming	
Asylum Events	2025-08-05	ESTIVA中国巡演倒计时开启！就在本周末携新专《Embrace》重磅回归！	ESTIVA 中国巡演	club_show	Asylum Events			深沪	中国							WeChat		upcoming	
Asylum Events	2025-07-24	荷兰渐进先锋ESTIVA携新专《Embrace》重磅回归！中国深沪巡演再度开启	ESTIVA 深沪巡演	club_show	Asylum Events			深圳/上海	中国							WeChat		upcoming	
Asylum Events	2025-07-09	「灵魂共舞」Le Youth中国双城巡演回顾	Le Youth 中国双城巡演	club_show	Asylum Events				中国							WeChat		past	
Asylum Events	2025-07-09	2025·CAMP BESTIVAL原点草地电音嘉年华，倒计时3天广州见！	CAMP BESTIVAL 广州	festival	Asylum Events			广州	中国							WeChat		upcoming	
Asylum Events	2025-07-04	关于“EMBRZ中国巡演取消并延期”通告	EMBRZ 中国巡演	club_show	Asylum Events				中国							WeChat		canceled	
Asylum Events	2025-05-21	SOOS一周年！南京站全阵容释放&门票开售	SOOS 一周年 南京站	club_show	Asylum Events			南京	中国							WeChat		upcoming	
Asylum Events	2025-05-21	05.31｜Asylum & NEO牛联合呈现：Teletech硬核铁锤Eczodia降临！	Teletech Eczodia	club_show	Asylum Events				中国	2025-05-31	2025-05-31					WeChat		upcoming	
Asylum Events	2025-05-07	「梦落四城」Robby East中国巡演回顾	Robby East 中国巡演	club_show	Asylum Events				中国							WeChat		past	
Asylum Events	2025-04-25	倒计时开启｜Robby East中国巡演全站信息解锁！	Robby East 中国巡演	club_show	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2025-03-27	重温2025 EDC CHINA官方After Party高燃现场，回顾双日加码狂欢火爆时刻！	EDC China 2025 Official After Party	after_party	Asylum Events			苏州	中国	2025-03-22	2025-03-23					WeChat		past	
Asylum Events	2025-03-19	2025 EDC CHINA官方After Party狂欢加码，新增艺人公布，3月22日-23日，热爱永不停...	EDC China 2025 Official After Party	after_party	Asylum Events			苏州	中国	2025-03-22	2025-03-23					WeChat		upcoming	
Asylum Events	2025-03-10	「氛围的神」LIGHTHOUSE w/ JERRO中国首演回顾	LIGHTHOUSE w/ JERRO	club_show	Asylum Events				中国							WeChat		past	
Asylum Events	2025-03-07	2025 EDC CHINA官方After Party震撼来袭，正式开售！狂欢续航，热爱不止！	EDC China 2025 Official After Party	after_party	Asylum Events			苏州	中国	2025-03-22	2025-03-23					WeChat		upcoming	
Asylum Events	2025-02-28	就在周五！JERRO在深圳搞这么浪漫谁来管	JERRO 深圳演出	club_show	Asylum Events			深圳	中国							WeChat		upcoming	标题来自列表截断补全
Asylum Events	2024-12-04	12.07 广州｜英国治愈系旋律创作才子Ocula演出须知	Ocula 广州站	club_show	Asylum Events			广州	中国	2024-12-07	2024-12-07					WeChat		upcoming	
Asylum Events	2024-12-04	12.08 武汉｜英国治愈系旋律创作才子Ocula演出须知	Ocula 武汉站	club_show	Asylum Events			武汉	中国	2024-12-08	2024-12-08					WeChat		upcoming	
Asylum Events	2024-12-04	「重锤“力度”」Charlie Sparks上海System首演回顾	Charlie Sparks 上海首演	club_show	Asylum Events	SYSTEM		上海	中国							WeChat		past	
Asylum Events	2024-11-30	SAN HOLO中国巡演上海站 - 粉丝见面会调整通知	SAN HOLO 中国巡演上海站	club_show	Asylum Events			上海	中国							WeChat		rescheduled	
Asylum Events	2024-11-28	SAN HOLO中国巡演三站活动信息更新，请及时查阅！	SAN HOLO 中国巡演（三站）	club_show	Asylum Events			成都/深圳/上海	中国							WeChat		upcoming	
Asylum Events	2024-11-25	SAN HOLO巡演更新｜成都站入场方式解锁&深圳站加售	SAN HOLO 中国巡演	club_show	Asylum Events			成都/深圳	中国							WeChat		upcoming	
Asylum Events	2024-11-22	「律动露台」11.09 LIGHTHOUSE VOL.4 Afro house主题派对回顾	LIGHTHOUSE VOL.4	special_event	Asylum Events				中国	2024-11-09	2024-11-09					WeChat		past	
Asylum Events	2024-11-19	惊喜回归！英国治愈系旋律创作才子Ocula中国巡演再度开启	Ocula 中国巡演	club_show	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2024-11-18	11.30 上海｜来和SAN HOLO开启近距离互动吧！	SAN HOLO 上海见面活动	special_event	Asylum Events			上海	中国	2024-11-30	2024-11-30					WeChat		upcoming	
Asylum Events	2024-11-17	Hard Techno那么火，不许别人蹦了你没蹦过！	Hard Techno 活动（待确认）	club_show	Asylum Events				中国							WeChat		upcoming	标题未明确艺人
Asylum Events	2024-11-12	“我在珠海玩到了人生仓库派对！”	SOOS 珠海仓库派对	club_show	Asylum Events			珠海	中国							WeChat		past	
Asylum Events	2024-11-08	关于11月9日LIGHTHOUSE IV派对演出阵容调整通知	LIGHTHOUSE IV	special_event	Asylum Events				中国	2024-11-09	2024-11-09					WeChat		rescheduled	
Asylum Events	2024-11-06	倒计时3天！Black Coffee之子SONA中国首次巡演即将开启！	SONA 中国首次巡演	club_show	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2024-10-28	11/03 SOOS珠海“维系宇宙的力量”——深入Dub Techno大师.Vril构建的奥德赛长夜	SOOS 珠海 Vril 夜	club_show	Asylum Events			珠海	中国	2024-11-03	2024-11-03					WeChat		upcoming	
Asylum Events	2024-10-27	11月02日 Savage & SHē——风靡全球的Afro House神仙眷侣组合	Savage & SHē 演出	club_show	Asylum Events				中国	2024-11-02	2024-11-02					WeChat		upcoming	
Asylum Events	2024-10-27	11/02 Dance In My Asylum w/Savage & SHē	Dance In My Asylum	club_show	Asylum Events				中国	2024-11-02	2024-11-02					WeChat		upcoming	
Asylum Events	2024-10-08	11.02-03 SOOS珠海｜双日早鸟正式开售！	SOOS 珠海	club_show	Asylum Events			珠海	中国	2024-11-02	2024-11-03					WeChat		upcoming	
Asylum Events	2024-09-30	10.03｜如果你想在上海体验真正的电子音乐仓库派对！	SOOS 上海仓库派对	club_show	Asylum Events			上海	中国	2024-10-03	2024-10-03					WeChat		upcoming	同日出现两篇相近标题
Asylum Events	2024-09-23	很抱歉，“SOOS上海”第一天活动取消通知！但……	SOOS 上海	club_show	Asylum Events			上海	中国							WeChat		partially_canceled	
Asylum Events	2024-09-20	关于“LIGHTHOUSE III: Ocula上海-广州专场巡演”调整及取消通知	LIGHTHOUSE III: Ocula 双城巡演	club_show	Asylum Events			上海/广州	中国							WeChat		rescheduled	
Asylum Events	2024-09-19	重磅回归！10.02-03 SOOS电子音乐·上海	SOOS 上海	club_show	Asylum Events			上海	中国	2024-10-02	2024-10-03					WeChat		upcoming	
Asylum Events	2024-09-06	正式开票！英国治愈系旋律创作才子Ocula双城巡演	Ocula 双城巡演	club_show	Asylum Events			上海/广州	中国							WeChat		upcoming	
Asylum Events	2024-08-27	DIMENSION专场首演倒计时三天！地球上穿黑色最帅的DJ要来了！	DIMENSION 国内专场	club_show	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2024-08-26	正式开票！EDC CHINA官方After Party重磅来袭，狂欢持续到底，热爱永不停歇！	EDC China Official After Party	after_party	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2024-08-21	法兰西掌管旋律的神，国内首次巡演进入倒计时！	（疑似）MASSANE 中国巡演	club_show	Asylum Events				中国							WeChat		upcoming	与8/4推文可能为同一巡演
Asylum Events	2024-08-13	正式开票！英伦低音美学之神DIMENSION国内独家专场	DIMENSION 国内独家专场	club_show	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2024-08-04	正式开票！法国旋律电子诗人MASSANE双城巡演来袭	MASSANE 双城巡演	club_show	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2024-07-18	正式开票！7.27 LIGHTHOUSE首次呈现上海最Deep外滩露台派对！	LIGHTHOUSE 7.27 上海外滩露台派对	special_event	Asylum Events		外滩	上海	中国	2024-07-27	2024-07-27					WeChat		upcoming	
Asylum Events	2024-05-12	什么样的派对才能吸引Anyma空降！	ANYMA 相关活动（待确认）	club_show	Asylum Events				中国							WeChat		upcoming	细节待补
Asylum Events	2024-04-25	五一合肥最燃仓库派对倒计时！全艺人阵容&演出时间表速速收藏！	合肥五一仓库派对	club_show	Asylum Events			合肥	中国	2024-05-03	2024-05-04					WeChat		upcoming	
Asylum Events	2024-04-12	正式开票！5月3-4日合肥千人电子音乐仓库派对	合肥千人电子音乐仓库派对	club_show	Asylum Events			合肥	中国	2024-05-03	2024-05-04					WeChat		upcoming	
